YEAR,cause,n_fires,total_area_ha
2021,H-PB,11,357.6326672495
2021,Human,484,544761.0162077256
2021,N,1290,3514317.312463285
2021,Unknown,38,22567.23454406139
2022,H-PB,14,3131.66999222316
2022,Human,292,46946.3197242228
2022,N,840,1240360.2861753053
2022,Unknown,214,171706.8391516136
2023,Human,589,801790.092823016
2023,N,1448,14920843.689258628
2023,Unknown,163,825361.24851454
2024,H-PB,13,2538.95811004307
2024,Human,630,51034.60320563316
2024,N,1305,5077168.213972686
2024,Unknown,30,54411.6498931647
