SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,YEAR,MONTH,DAY,REP_DATE,DATE_TYPE,OUT_DATE,DECADE,SIZE_HA,CALC_HA,CAUSE,PRESCRIBED,MAP_SOURCE,SOURCE_KEY,MAP_METHOD,WATER_REM,UNBURN_REM,MORE_INFO,POLY_DATE,CFS_REF_ID,CFS_NOTE1,CFS_NOTE2,AG_SRCFILE,ACQ_DATE
AB,,ANP-007-2022,Dormer Fire,2022,0,0,,,,2020-2029,668.90000000000,669.27946320400,U,,"0 - hand sketch of any type",,,,,,2022/10/21,AB-2022-ANP-007-2022,,,,
AB,,CCU-001-2021,,2021,4,1,2021/04/01,,,2020-2029,79.30000000000,79.30575032260,U,,11 - digital/satellite imagery (pixel 2m - 10m),,,,,,2021/04/20,AB-2021-CCU-001-2021,,,,2025/04/07
AB,,CCU-001-2022,,2022,5,13,2022/05/13,,,2020-2029,3.30000000000,3.31089429607,U,,"0 - hand sketch of any type",,,,,,2022/10/03,AB-2022-CCU-001-2022,,,,2023/05/16
AB,,CCU-002-2021,,2021,4,30,2021/04/30,,,2020-2029,54.70000000000,54.66480010820,U,,1 - non-corrected ground GPS,,,,,,2021/05/03,AB-2021-CCU-002-2021,,,,2025/04/07
AB,,CCU-002-2024,,2024,6,6,2024/06/06,Start date,,2020-2029,4.00000000000,3.95471338424,U,,1 - non-corrected ground GPS,,,,,Mutual Aid,2024/06/07,AB-2024-CCU-002-2024,,,polygons2024,2025/04/07
AB,,CMD-001-2021,,2021,3,28,2021/03/28,,,2020-2029,4523.50000000000,4523.61146513000,U,,12 - digital/satellite imagery (pixel 10m - 20m),,,,,,2021/04/21,AB-2021-CMD-001-2021,,,,2025/04/07
AB,,CMD-002-2022,,2022,9,11,2022/09/11,,,2020-2029,47.70000000000,47.68192212540,U,,2 - non-corrected airborne GPS,,,,,,2022/09/12,AB-2022-CMD-002-2022,,,,2023/05/16
AB,,CMD-003-2021,,2021,4,27,2021/04/27,,,2020-2029,2.30000000000,2.26013199936,U,,1 - non-corrected ground GPS,,,,,,2021/04/27,AB-2021-CMD-003-2021,,,,2025/04/07
AB,,CMD-007-2021,,2021,12,1,2021/12/01,,,2020-2029,6.40000000000,6.38004019580,U,,1 - non-corrected ground GPS,,,,,,2021/12/01,AB-2021-CMD-007-2021,,,,2025/04/07
AB,,CWF-009-2021,,2021,4,3,2021/04/03,,,2020-2029,17.30000000000,17.30396414800,H,,5 - digitized from aerial photo,,,,,Partially burned area,2021/04/17,AB-2021-CWF-009-2021,,,,2025/04/07
AB,,CWF-013-2021,,2021,4,17,2021/04/17,,,2020-2029,1.00000000000,0.96430697074,H,,1 - non-corrected ground GPS,,,,,,2021/04/20,AB-2021-CWF-013-2021,,,,2025/04/07
AB,,CWF-037-2024,,2024,5,30,2024/05/30,Start date,,2020-2029,6.30000000000,6.33826262311,U,,1 - non-corrected ground GPS,,,,,,2024/05/30,AB-2024-CWF-037-2024,,,polygons2024,2025/04/07
AB,,CWF-043-2022,,2022,5,23,2022/05/23,,,2020-2029,6.00000000000,6.04553484648,H,,1 - non-corrected ground GPS,,,,,,2022/05/23,AB-2022-CWF-043-2022,,,,2023/05/16
AB,,CWF-057-2024,Fallentimber Fire,2024,7,23,2024/07/23,Start date,,2020-2029,48.80000000000,48.81589531740,N,,1 - non-corrected ground GPS,,,,,,2024/07/29,AB-2024-CWF-057-2024,,,polygons2024,2025/04/07
AB,,CWF-061-2021,,2021,6,16,2021/06/16,,,2020-2029,0.60000000000,0.63166058752,H,,1 - non-corrected ground GPS,,,,,,2021/06/18,AB-2021-CWF-061-2021,,,,2025/04/07
